university,academic_year,programme,degree_level,fee_status,fee_gbp,source,notes,course_code,extraction_date
Cambridge,2020/21,"Anglo-Saxon, Norse, and Celtic",BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721597
Cambridge,2020/21,"Anglo-Saxon, Norse, and Celtic",BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721602
Cambridge,2020/21,Archaeology,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721606
Cambridge,2020/21,Archaeology,BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721607
Cambridge,2020/21,Architecture,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721610
Cambridge,2020/21,Architecture,BA,overseas,27696.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721611
Cambridge,2020/21,Asian and Middle Eastern Studies,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721613
Cambridge,2020/21,Asian and Middle Eastern Studies,BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721614
Cambridge,2020/21,Chemical Engineering,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721617
Cambridge,2020/21,Chemical Engineering,BA,overseas,32214.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721617
Cambridge,2020/21,Classics,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721620
Cambridge,2020/21,Classics,BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721620
Cambridge,2020/21,Computer Science,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721623
Cambridge,2020/21,Computer Science,BA,overseas,32214.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721623
Cambridge,2020/21,Economics,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721626
Cambridge,2020/21,Economics,BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721627
