month,price_close
2020-01-01,108500.00
2020-02-01,110200.00
2020-03-01,119800.00
2020-04-01,131500.00
2020-05-01,139200.00
2020-06-01,137800.00
2020-07-01,144300.00
2020-08-01,152600.00
2020-09-01,148900.00
2020-10-01,146700.00
2020-11-01,141200.00
2020-12-01,143800.00
2021-01-01,142300.00
2021-02-01,138900.00
2021-03-01,133200.00
2021-04-01,135600.00
2021-05-01,138800.00
2021-06-01,136400.00
2021-07-01,134100.00
2021-08-01,137200.00
2021-09-01,135800.00
2021-10-01,138600.00
2021-11-01,137400.00
2021-12-01,136900.00
2022-01-01,139200.00
2022-02-01,143600.00
2022-03-01,148900.00
2022-04-01,152300.00
2022-05-01,150800.00
2022-06-01,147200.00
2022-07-01,149600.00
2022-08-01,148100.00
2022-09-01,144700.00
2022-10-01,147300.00
2022-11-01,149800.00
2022-12-01,146500.00
2023-01-01,148900.00
2023-02-01,151200.00
2023-03-01,149600.00
2023-04-01,152800.00
2023-05-01,150400.00
2023-06-01,148700.00
2023-07-01,151300.00
2023-08-01,154200.00
2023-09-01,157800.00
2023-10-01,161400.00
2023-11-01,159200.00
2023-12-01,162700.00
2024-01-01,158900.00
2024-02-01,156300.00
2024-03-01,159700.00
2024-04-01,162100.00
2024-05-01,164800.00
2024-06-01,161200.00
2024-07-01,158600.00
2024-08-01,161900.00
2024-09-01,164300.00
2024-10-01,167200.00
2024-11-01,165800.00
2024-12-01,163400.00
2025-01-01,159800.00
2025-02-01,157200.00
2025-03-01,154600.00
2025-04-01,152100.00
2025-05-01,149800.00
2025-06-01,147300.00
2025-07-01,149900.00
2025-08-01,152400.00
2025-09-01,155100.00
2025-10-01,157800.00
2025-11-01,160300.00
2025-12-01,162900.00
