month,price_close
2020-01-01,12182.50
2020-02-01,11624.20
2020-03-01,8597.75
2020-04-01,9859.90
2020-05-01,9580.30
2020-06-01,10302.10
2020-07-01,11073.45
2020-08-01,11387.50
2020-09-01,11227.55
2020-10-01,11642.40
2020-11-01,12968.95
2020-12-01,13981.75
2021-01-01,14690.70
2021-02-01,14789.95
2021-03-01,14845.10
2021-04-01,14238.90
2021-05-01,15435.65
2021-06-01,15721.50
2021-07-01,15763.05
2021-08-01,17132.20
2021-09-01,17618.15
2021-10-01,18477.05
2021-11-01,17245.65
2021-12-01,17354.05
2022-01-01,17339.85
2022-02-01,16247.95
2022-03-01,17359.75
2022-04-01,17003.75
2022-05-01,16584.55
2022-06-01,15780.25
2022-07-01,16569.35
2022-08-01,17534.25
2022-09-01,17094.35
2022-10-01,18012.20
2022-11-01,18758.35
2022-12-01,18269.15
2023-01-01,17859.45
2023-02-01,17303.95
2023-03-01,17498.25
2023-04-01,18053.40
2023-05-01,18534.65
2023-06-01,18726.40
2023-07-01,19753.80
2023-08-01,19253.80
2023-09-01,19638.30
2023-10-01,19079.60
2023-11-01,20133.15
2023-12-01,21731.40
2024-01-01,21725.70
2024-02-01,22196.15
2024-03-01,22326.90
2024-04-01,22475.85
2024-05-01,23263.90
2024-06-01,23290.15
2024-07-01,24484.05
2024-08-01,24936.40
2024-09-01,25790.95
2024-10-01,24180.80
2024-11-01,23883.45
2024-12-01,24641.30
2025-01-01,25426.90
2025-02-01,24972.15
2025-03-01,24186.80
2025-04-01,23754.65
2025-05-01,24312.85
2025-06-01,25089.50
2025-07-01,25627.40
2025-08-01,26194.70
2025-09-01,25836.25
2025-10-01,26481.35
2025-11-01,27156.80
2025-12-01,27823.50
